,City,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date
270,Chicama,72.81,-7.84,-79.15,58,35,9.53,PE,1594833697
271,Malinyi,73.29,-8.93,36.13,58,14,3.62,TZ,1594833698
272,Keti Bandar,86.02,24.14,67.45,76,19,16.26,PK,1594833672
273,Narsaq,57.2,60.92,-46.05,58,75,9.17,GL,1594833664
274,Iisalmi,68.0,63.56,27.19,49,25,4.7,FI,1594833698
275,Tougan,84.51,13.07,-3.07,61,96,5.28,BF,1594833698
276,Okahandja,59.0,-21.98,16.92,15,0,9.17,NA,1594833699
277,Barranco,84.2,9.52,-82.7,74,61,5.82,PA,1594833699
278,Bremervörde,64.99,53.48,9.13,75,1,1.99,DE,1594833699
279,Tura,75.85,25.52,90.22,96,88,6.31,IN,1594833699
280,Mahébourg,71.6,-20.41,57.7,73,40,13.87,MU,1594833699
281,Ayagoz,68.59,47.97,80.44,72,0,17.76,KZ,1594833699
282,Kloulklubed,77.0,7.04,134.26,88,75,3.36,PW,1594833700
283,General Pico,57.72,-35.66,-63.76,43,0,10.29,AR,1594833700
284,Ponta do Sol,73.0,32.67,-17.1,62,4,6.31,PT,1594833700
285,Hov,59.0,60.7,10.35,92,95,1.01,NO,1594833700
286,Miraflores,71.6,19.22,-98.81,46,40,2.3,MX,1594833701
287,Ambilobe,71.04,-13.2,49.05,82,49,2.84,MG,1594833701
288,Dingle,76.01,11.0,122.67,89,100,5.19,PH,1594833701
289,Oława,71.01,50.95,17.29,56,97,3.36,PL,1594833701
290,Kungurtug,52.63,50.6,97.52,85,95,3.96,RU,1594833701
291,Sisimiut,48.4,66.94,-53.67,65,60,10.31,GL,1594833702
292,Saint-François,66.2,46.42,3.91,59,90,8.05,FR,1594833695
293,Departamento de Maldonado,55.4,-34.67,-54.92,47,0,4.7,UY,1594833455
294,Windhoek,60.8,-22.56,17.08,15,0,9.17,NA,1594833702
295,San Cristobal,89.6,7.77,-72.22,49,40,4.7,VE,1594833654
296,Jacqueville,78.8,5.21,-4.41,78,40,11.41,CI,1594833703
297,Japura,74.93,-0.32,102.35,91,28,1.86,ID,1594833452
298,Marigot,86.0,18.07,-63.08,70,75,8.05,MF,1594833659
299,Turinsk,77.0,58.05,63.7,71,25,9.22,RU,1594833703
300,Khanpur,106.23,28.65,70.66,19,2,4.85,PK,1594833490
301,Labuhan,77.68,-6.88,112.21,85,49,6.98,ID,1594833704
302,La Sarre,62.08,48.8,-79.2,90,99,7.05,CA,1594833704
303,Kyshtovka,62.83,56.55,76.63,81,45,6.24,RU,1594833704
304,Aswān,97.52,24.09,32.91,9,0,8.41,EG,1594833478
305,Bambanglipuro,75.43,-7.95,110.28,90,48,8.14,ID,1594833704
306,Avila,81.0,40.58,-5.0,18,0,5.99,ES,1594833705
307,Ixtapa,89.01,20.7,-105.2,70,40,6.93,MX,1594833705
308,Jutaí,91.94,-5.18,-68.9,43,38,4.76,BR,1594833705
309,Kushima,68.0,31.46,131.23,93,95,4.63,JP,1594833705
310,Khandyga,57.29,62.67,135.6,68,29,4.54,RU,1594833705
311,Mossamedes,68.13,-15.2,12.15,87,2,6.42,AO,1594833706
312,Turaif,100.4,31.67,38.66,17,20,9.17,SA,1594833446
313,Keetmanshoop,57.2,-26.58,18.13,24,0,13.87,NA,1594833706
314,Širvintos,73.4,55.05,24.95,45,99,9.17,LT,1594833706
315,Port Blair,81.86,11.67,92.75,82,100,10.11,IN,1594833707
316,Glasgow,59.0,55.87,-4.26,82,90,11.41,GB,1594833574
317,Tešanjka,80.6,44.67,18.01,41,20,5.82,BA,1594833707
318,Talnakh,48.2,69.49,88.4,93,75,6.71,RU,1594833439
319,Van Wert,87.01,40.87,-84.58,42,1,8.05,US,1594833708
320,Babu,80.71,24.42,111.52,76,53,2.15,CN,1594833708
321,Emerald,48.2,-23.53,148.17,57,0,5.82,AU,1594833708
322,Ranong,81.0,9.97,98.63,76,100,4.88,TH,1594833708
323,Leningradskiy,41.25,69.38,178.42,88,100,10.09,RU,1594833708
324,Tiarei,73.4,-17.53,-149.33,88,75,5.82,PF,1594833448
325,Kuching,77.0,1.55,110.33,100,20,1.12,MY,1594833709
326,Quatre Cocos,73.0,-20.21,57.76,73,40,13.87,MU,1594833709
327,Itoman,84.2,26.12,127.67,89,40,21.92,JP,1594833709
328,College,59.0,64.86,-147.8,76,75,4.7,US,1594833709
329,Houma,93.0,29.6,-90.72,70,40,4.7,US,1594833710
330,Leh,66.4,34.17,77.58,25,2,6.11,IN,1594833710
331,Linfen,80.17,36.09,111.52,51,38,2.95,CN,1594833710
332,Hamilton,91.0,39.18,-84.53,43,1,8.05,US,1594833671
333,Oktyabr'skiy,75.34,54.48,53.47,75,0,2.51,RU,1594833710
334,Havre-St-Pierre,64.4,50.23,-63.6,63,1,9.17,CA,1594833710
335,Dudinka,48.2,69.41,86.18,93,75,6.71,RU,1594833711
336,Muskegon,80.01,43.3,-86.13,61,90,8.05,US,1594833711
337,Sorong,80.76,-0.88,131.25,78,100,7.47,ID,1594833711
338,Rawson,46.9,-43.3,-65.1,52,30,8.5,AR,1594833712
339,Codrington,41.31,-38.27,141.97,91,19,5.12,AU,1594833647
340,Cabo San Lucas,95.0,22.89,-109.91,43,5,5.82,MX,1594833418
341,Hobyo,80.01,5.35,48.53,74,76,29.82,SO,1594833712
342,Back Mountain,86.0,41.34,-76.0,48,0,1.99,US,1594833712
343,Srednekolymsk,40.28,67.45,153.68,70,62,3.31,RU,1594833712
344,Batagay,49.5,67.63,134.63,66,0,4.63,RU,1594833713
345,Tigre,59.0,-34.43,-58.58,35,0,4.7,AR,1594833713
346,Vila Velha,69.8,-20.33,-40.29,94,90,8.05,BR,1594833713
347,Nome,50.0,64.5,-165.41,87,90,6.93,US,1594833713
348,Siilinjärvi,68.0,63.08,27.67,49,46,4.7,FI,1594833714
349,Zheleznodorozhnyy,62.01,55.75,38.0,93,75,8.95,RU,1594833714
350,Sydney Mines,55.0,46.24,-60.22,100,90,14.99,CA,1594833714
351,Aguié,90.32,13.51,7.78,41,64,6.13,NE,1594833714
352,Arraial do Cabo,69.8,-22.97,-42.03,64,75,6.93,BR,1594833648
353,Kharagauli,75.2,42.02,43.2,78,75,10.29,GE,1594833715
354,Xining,59.56,36.62,101.77,82,100,5.75,CN,1594833445
355,Mtsamboro,77.0,-12.7,45.07,73,75,14.99,YT,1594833715
356,Markova,75.2,48.68,24.41,44,70,6.71,UA,1594833715
357,Māngrol,80.83,21.12,70.12,85,100,6.26,IN,1594833716
358,Katsuura,64.4,35.13,140.3,100,75,14.99,JP,1594833716
359,Belyy Yar,55.4,53.6,91.39,76,3,6.71,RU,1594833716
360,Husavik,53.6,66.04,-17.34,93,75,11.41,IS,1594833716
361,Kiryat Gat,84.99,31.61,34.76,62,0,9.98,IL,1594833689
362,Isangel,71.85,-19.55,169.27,84,2,2.17,VU,1594833717
363,Porto-Novo,78.8,6.5,2.6,83,40,13.87,BJ,1594833717
364,Beijing,88.0,39.91,116.4,65,0,6.53,CN,1594833431
365,Lorengau,81.28,-2.02,147.27,69,58,4.61,PG,1594833717
366,Bairiki Village,80.6,1.33,172.98,88,75,4.7,KI,1594833718
367,Lichtenau,66.99,51.62,8.9,48,40,6.93,DE,1594833718
368,Pacific Grove,62.01,36.62,-121.92,82,90,3.36,US,1594833652
369,Mil'kovo,58.28,54.72,158.62,82,91,1.25,RU,1594833718
370,Marsá Maţrūḩ,78.03,31.35,27.25,67,0,7.29,EG,1594833656
371,Mahon,77.0,39.89,4.27,61,20,10.29,ES,1594833718
372,Dakar,84.2,14.69,-17.44,66,75,9.17,SN,1594833718
373,Fort Morgan,62.6,40.25,-103.8,77,90,18.34,US,1594833719
374,Laishevo,78.8,55.4,49.55,44,72,13.42,RU,1594833719
375,Safidon,95.32,29.42,76.67,40,6,10.18,IN,1594833719
376,Ingá,78.39,-7.28,-35.6,73,93,8.93,BR,1594833719
377,Beira,71.6,-19.84,34.84,68,75,20.8,MZ,1594833720
378,Alcañiz,78.01,41.05,-0.13,64,7,8.99,ES,1594833720
379,Ilulissat,46.4,69.22,-51.1,75,75,4.7,GL,1594833720
380,Bathsheba,87.8,13.22,-59.52,62,20,13.87,BB,1594833720
381,Belaya Gora,40.03,68.53,146.42,76,18,7.58,RU,1594833720
382,Caravelas,79.34,-17.71,-39.25,64,0,6.44,BR,1594833651
383,Kamina,71.96,-8.74,24.99,29,22,5.95,CD,1594833721
384,Hay River,55.4,60.82,-115.8,82,75,10.29,CA,1594833721
385,Teya,48.06,60.38,92.63,84,64,4.72,RU,1594833722
386,Shahr-e Bābak,81.19,30.12,55.12,19,36,18.19,IR,1594833723
387,Coolum Beach,57.0,-26.53,153.1,60,0,4.0,AU,1594833723
388,City of San Pedro,82.0,14.35,121.02,79,19,1.01,PH,1594833625
389,Ilhabela,66.31,-23.78,-45.36,70,100,5.28,BR,1594833723
390,Faanui,77.61,-16.48,-151.75,84,17,13.96,PF,1594833723
391,Berlevåg,55.4,70.86,29.09,81,22,19.46,NO,1594833450
392,Apatzingán,66.2,19.08,-102.35,88,90,6.93,MX,1594833724
393,Hailun,70.12,47.45,126.93,79,67,5.26,CN,1594833724
394,Saint-Joseph,71.6,-21.37,55.62,83,75,5.82,RE,1594833724
395,Manakara,68.52,-22.13,48.02,88,0,2.53,MG,1594833724
396,Zhezkazgan,82.67,47.8,67.71,31,93,10.25,KZ,1594833725
397,Salalah,82.4,17.02,54.09,88,75,3.36,OM,1594833725
398,Nelson Bay,55.4,-32.72,152.15,58,90,14.99,AU,1594833720
399,Verāval,81.32,20.9,70.37,85,100,8.1,IN,1594833725
400,Eyl,83.17,7.98,49.82,61,96,27.54,SO,1594833725
401,Iquique,60.8,-20.22,-70.14,72,2,14.99,CL,1594833516
402,Ambovombe,66.42,-25.17,46.08,79,33,14.07,MG,1594833668
403,Wanning,81.5,18.8,110.4,86,63,10.67,CN,1594833726
404,Samarai,77.63,-10.62,150.67,89,58,14.2,PG,1594833726
405,Deputatsky,35.67,69.3,139.9,83,41,9.04,RU,1594833452
406,Muhafazat Lahij,88.02,13.17,44.58,39,99,15.39,YE,1594833726
407,Koster,42.17,-25.86,26.9,52,0,5.75,ZA,1594833727
408,Sola,79.25,-13.88,167.55,81,86,13.15,VU,1594833463
409,Comodoro Rivadavia,41.0,-45.87,-67.5,41,16,2.24,AR,1594833614
410,Lagos,80.6,6.58,3.75,78,40,10.29,NG,1594833434
411,Marsh Harbour,83.97,26.54,-77.06,68,25,3.67,BS,1594833727
412,Iqaluit,59.0,63.75,-68.51,62,20,5.82,CA,1594833727
413,Marawi,73.99,8.0,124.29,94,100,5.01,PH,1594833651
414,Apache Junction,100.0,33.42,-111.55,23,75,9.17,US,1594833728
415,Quesnel,59.0,53.0,-122.5,93,90,2.24,CA,1594833660
416,Faya,78.8,18.39,42.45,41,40,8.05,SA,1594833728
417,Orlik,45.34,52.52,99.83,80,88,5.12,RU,1594833728
418,Rocha,52.41,-34.48,-54.33,49,0,3.96,UY,1594833506
419,Ukiah,81.0,39.15,-123.21,63,1,2.8,US,1594833439
420,Tegul'det,52.05,57.31,88.17,81,99,0.96,RU,1594833729
421,Kumul,83.35,42.8,93.45,17,69,16.93,CN,1594833557
422,Kavaratti,83.35,10.57,72.64,79,100,17.76,IN,1594833729
423,Alyangula,68.0,-13.85,136.42,68,33,5.82,AU,1594833729
424,Launceston,42.01,-41.45,147.17,93,75,6.93,AU,1594833729
425,West Wendover,80.6,40.74,-114.07,14,1,5.82,US,1594833730
426,Zverinogolovskoye,74.12,54.46,64.85,70,0,9.28,RU,1594833730
427,Grand Haven,81.0,43.06,-86.23,61,90,8.05,US,1594833670
428,Palmer,78.01,42.16,-72.33,60,75,3.36,US,1594833502
429,Madang,77.11,-5.22,145.8,88,53,1.14,PG,1594833730
430,Bonanza,83.91,14.03,-84.59,71,72,5.35,NI,1594833731
431,Ayan,63.09,56.45,138.17,80,100,4.36,RU,1594833731
432,Maragogi,79.56,-9.01,-35.22,72,19,9.93,BR,1594833731
433,Rovereto,73.0,45.89,11.04,72,98,1.81,IT,1594833732
434,St. George's,86.0,12.06,-61.75,74,20,20.8,GD,1594833732
435,Mīnāb,93.2,27.15,57.08,71,20,4.7,IR,1594833732
436,Quetigny,66.2,47.32,5.12,88,99,3.36,FR,1594833732
437,Shelton,79.0,41.32,-73.09,64,1,10.29,US,1594833733
438,Sampit,74.19,-2.53,112.95,96,100,2.98,ID,1594833733
439,Nuuk,53.6,64.18,-51.72,66,20,4.7,GL,1594833625
440,Haines Junction,49.28,60.75,-137.51,84,100,1.14,CA,1594833734
441,Dombarovskiy,82.08,50.76,59.54,36,0,11.25,RU,1594833734
442,Rio Grande,55.4,-32.03,-52.1,30,0,6.93,BR,1594833434
443,Esim,77.32,4.87,-2.24,72,59,10.47,GH,1594833673
444,Freeport,78.01,40.66,-73.58,69,90,10.29,US,1594833436
445,Fortuna,64.99,40.6,-124.16,77,20,5.82,US,1594833735
446,Lira,67.57,2.23,32.91,90,93,3.47,UG,1594833735
447,Puerto El Triunfo,91.4,13.28,-88.55,55,0,2.24,SV,1594833735
448,Mahina,73.4,-17.51,-149.49,88,75,4.7,PF,1594833735
449,Aklavik,51.8,68.22,-135.01,87,90,6.93,CA,1594833622
450,Ugoofaaru,83.98,5.67,73.0,76,100,12.39,MV,1594833666
451,Great Yarmouth,61.0,52.61,1.73,87,75,9.17,GB,1594833736
452,Ulladulla,53.6,-35.35,150.47,58,90,13.87,AU,1594833736
453,Auki,76.66,-8.77,160.7,89,100,7.47,SB,1594833736
454,Ibrā’,90.0,22.69,58.53,48,69,10.31,OM,1594833736
455,Camargo,89.44,27.67,-105.17,19,0,1.97,MX,1594833737
456,Dukat,48.79,62.55,155.55,93,100,4.29,RU,1594833737
457,Sayaxché,88.81,16.52,-90.17,55,45,4.45,GT,1594833737
458,Petropavlovsk-Kamchatskiy,51.8,53.05,158.65,100,90,4.47,RU,1594833737
459,Bria,72.09,6.54,21.99,94,15,2.37,CF,1594833737
460,Ouésso,74.79,1.61,16.05,91,80,1.52,CG,1594833738
461,Abu Samrah,88.0,35.3,37.18,27,0,13.51,SY,1594833738
462,Daşoguz,93.2,41.84,59.97,18,0,11.41,TM,1594833738
463,Khovd,57.92,48.01,91.64,64,100,5.37,MN,1594833738
464,Buchanan,80.6,5.88,-10.05,78,75,12.75,LR,1594833738
465,Manzhouli,65.46,49.6,117.43,80,37,2.73,CN,1594833739
466,Riohacha,91.2,11.54,-72.91,52,12,15.23,CO,1594833739
467,Shivrājpur,80.44,22.42,73.65,86,100,6.58,IN,1594833739
468,Amapá,89.92,1.0,-52.0,48,2,4.65,BR,1594833739
469,Matara,78.96,5.95,80.54,87,100,7.56,LK,1594833448
470,Kaniama,76.93,-7.57,24.18,28,14,4.43,CD,1594833739
471,Zhuhai,87.01,22.28,113.57,89,20,8.05,CN,1594833740
472,Naila,66.0,50.32,11.7,87,40,3.36,DE,1594833740
473,Tonantins,91.83,-2.87,-67.8,45,16,5.26,BR,1594833740
474,Port Hawkesbury,55.99,45.62,-61.35,93,90,6.93,CA,1594833465
475,Tarko-Sale,59.0,64.92,77.78,80,98,15.19,RU,1594833740
476,Port Hedland,57.2,-20.32,118.57,71,0,5.82,AU,1594833740
477,San Quintín,72.48,30.48,-115.95,67,34,13.27,MX,1594833741
478,Castro Daire,95.0,40.9,-7.93,25,4,5.99,PT,1594833741
479,Manokwari,78.64,-0.87,134.08,76,36,3.58,ID,1594833689
480,Ejido,80.06,8.55,-71.24,44,91,5.35,VE,1594833741
481,Derzhavīnsk,75.83,51.1,66.32,52,0,9.93,KZ,1594833742
482,Atambua,68.63,-9.11,124.89,87,16,5.95,ID,1594833742
483,Koygorodok,75.79,60.45,51.0,74,12,1.03,RU,1594833742
484,Pangnirtung,51.8,66.15,-65.71,76,75,17.22,CA,1594833742
485,Avilés,69.01,43.55,-5.92,72,75,5.82,ES,1594833742
486,Trenčianske Teplice,75.0,48.91,18.17,66,56,4.05,SK,1594833560
487,Pombal,92.41,-6.77,-37.8,28,23,7.61,BR,1594833743
488,Deleni,78.01,47.47,26.88,49,70,6.93,RO,1594833743
489,Ahome,93.99,25.92,-109.18,33,20,9.17,MX,1594833743
490,Bilibino,53.35,68.05,166.44,84,100,1.59,RU,1594833744
491,Porto Seguro,78.8,-16.45,-39.06,69,40,6.93,BR,1594833744
492,Sibolga,77.04,1.74,98.78,84,68,3.76,ID,1594833744
493,Limao,76.89,7.08,125.67,86,99,7.43,PH,1594833744
494,Bonavista,48.99,48.65,-53.11,78,100,11.01,CA,1594833734
495,Asău,68.0,46.43,26.4,68,68,2.21,RO,1594833745
496,Lagdo,86.0,9.05,13.73,62,20,12.75,CM,1594833745
497,Araouane,103.37,18.9,-3.53,22,99,9.55,ML,1594833745
498,Praia,82.4,14.92,-23.51,69,75,13.87,CV,1594833658
499,Bitkine,86.4,11.98,18.21,56,53,2.44,TD,1594833745
500,Juegang,70.0,32.32,121.19,94,58,6.17,CN,1594833746
501,Sainte-Anne-des-Monts,68.34,49.12,-66.49,44,0,11.41,CA,1594833746
502,Linxia Chengguanzhen,65.44,35.6,103.21,60,84,3.06,CN,1594833535
503,Edd,91.24,13.93,41.69,58,82,6.42,ER,1594833746
504,Duluth,81.0,46.78,-92.11,44,1,12.75,US,1594833494
505,Ocampo,73.26,21.65,-101.5,38,2,1.68,MX,1594833747
506,Cabedelo,82.4,-6.98,-34.83,65,40,13.87,BR,1594833747
507,Zarubino,61.3,42.63,131.09,94,21,3.04,RU,1594833747
508,Batemans Bay,37.0,-35.72,150.18,90,35,10.83,AU,1594833747
509,Chamlykskaya,68.09,44.72,40.88,81,48,6.31,RU,1594833748
510,Usinsk,51.39,65.99,57.53,76,94,15.5,RU,1594833748
511,Lakhipur,80.15,26.03,90.3,89,93,3.42,IN,1594833748
512,Palmares do Sul,52.03,-30.26,-50.51,57,0,5.39,BR,1594833748
513,Batagay-Alyta,54.86,67.8,130.41,67,47,4.34,RU,1594833748
514,Benghazi,79.74,32.12,20.07,63,0,16.44,LY,1594833748
515,Pamanukan,76.93,-6.28,107.81,81,91,6.31,ID,1594833749
516,Barra do Garças,91.56,-15.89,-52.26,22,0,7.65,BR,1594833563
517,Pochutla,87.8,15.74,-96.47,66,90,9.17,MX,1594833749
518,Srandakan,75.52,-7.94,110.25,90,48,8.08,ID,1594833749
519,Tres Arroyos,52.3,-38.37,-60.28,47,1,9.35,AR,1594833750
520,Altea,82.99,38.6,-0.05,49,32,9.15,ES,1594833750
521,Shimoda,72.91,34.67,138.95,84,100,5.82,JP,1594833750
522,Mahon,77.0,39.89,4.27,61,20,10.29,ES,1594833750
523,Banda Aceh,80.82,5.56,95.32,77,55,1.05,ID,1594833751
524,Churapcha,59.0,62.0,132.43,73,14,3.65,RU,1594833751
525,Praia,82.4,14.92,-23.51,69,75,13.87,CV,1594833751
526,Hanting,76.08,36.77,119.21,70,0,5.19,CN,1594833751
527,Dovolnoye,58.8,54.5,79.67,85,93,5.66,RU,1594833751
528,Chulym,57.7,55.1,80.96,79,89,4.21,RU,1594833752
529,Verkhoyansk,52.77,67.54,133.38,59,1,5.41,RU,1594833752
530,Sijunjung,72.48,-0.69,100.95,90,10,1.43,ID,1594833752
531,Makkah al Mukarramah,92.26,21.43,39.83,17,1,9.82,SA,1594833753
532,Tezu,76.19,27.92,96.17,83,100,2.89,IN,1594833753
533,Birnin Kebbi,87.91,12.45,4.2,54,100,9.35,NG,1594833753
534,Viranşehir,92.5,37.24,39.76,13,6,8.66,TR,1594833753
535,Puerto Escondido,82.4,15.85,-97.07,74,75,5.82,MX,1594833754
536,Rome,82.0,43.21,-75.46,57,1,4.7,US,1594833724
537,Imbituba,60.8,-28.24,-48.67,59,1,6.93,BR,1594833754
538,Toccoa,91.99,34.58,-83.33,52,75,3.36,US,1594833754
